Genus,Pvalue,Odds ratio,95% confidence interval lower,95% confidence interval upper
Lepidothrix,1.000,0.000,0.000,79.990
Tursiops,1.000,0.000,0.000,79.990
Didelphis,1.000,0.000,0.000,Inf
Rhyncholestes,1.000,0.000,0.000,Inf
Gazella,1.000,0.000,0.000,Inf
Primates,1.000,0.000,0.000,79.990
Pterodroma,1.000,0.000,0.000,79.990
Herpestes,1.000,0.000,0.000,Inf
Uropsilus,1.000,0.000,0.000,Inf
Leiothrix,1.000,0.000,0.000,Inf
Mazama,1.000,0.000,0.000,Inf
Cephalophus,1.000,0.000,0.000,Inf
Ispidina,1.000,0.000,0.000,79.990
Murexechinus,1.000,0.000,0.000,79.990
Rhizomyinae,1.000,0.000,0.000,Inf
Antilope,1.000,0.000,0.000,Inf
Halichoerus,0.327,Inf,0.053,Inf
Heteromys,1.000,0.000,0.000,79.990
Neotomodon,1.000,0.000,0.000,79.990
Peromyscus,1.000,0.000,0.000,79.990
Ithaginis,1.000,0.000,0.000,79.990
Aethomyias,1.000,0.000,0.000,79.990
Phascomurexia,1.000,0.000,0.000,Inf
Moschus,1.000,0.000,0.000,79.990
Ornithorhynchus,1.000,0.000,0.000,79.990
Mergus,1.000,0.000,0.000,79.990
Ardea,1.000,0.000,0.000,79.990
Artisornis,1.000,0.000,0.000,79.990
Pipistrellus,0.327,Inf,0.053,Inf
Spilornis,1.000,0.000,0.000,79.990
Profelis,1.000,0.000,0.000,79.990
Molossops,0.549,2.063,0.026,163.889
Nyctinomops,0.549,2.063,0.026,163.889
Sylvisorex,0.327,Inf,0.053,Inf
Blarinella,1.000,1.027,0.017,20.134
Ratufa,1.000,0.000,0.000,79.990
Neophascogale,1.000,0.000,0.000,10.959
Neotoma,1.000,0.000,0.000,79.990
Ciconia,1.000,0.000,0.000,79.990
Icterus,0.549,2.063,0.026,163.889
Dama,0.549,2.063,0.026,163.889
Echymipera,1.000,0.000,0.000,79.990
Egretta,0.552,0.000,0.000,4.977
Fulica,1.000,0.000,0.000,79.990
Goura,1.000,0.000,0.000,10.959
Tragopan,1.000,0.000,0.000,79.990
Artiodactyla,0.250,4.183,0.213,250.824
Syrmaticus,1.000,0.000,0.000,10.959
Hirundo,1.000,0.000,0.000,79.990
Cercopithecus,1.000,0.000,0.000,79.990
Gavia,1.000,0.000,0.000,79.990
Symphalangus,0.327,Inf,0.053,Inf
Leptotila,1.000,0.000,0.000,10.959
Phoeniculus,1.000,0.000,0.000,Inf
Murina,1.000,1.027,0.017,20.134
Cyclopes,1.000,0.000,0.000,79.990
Hylomys,1.000,0.000,0.000,79.990
Netta,0.327,Inf,0.053,Inf
Nyctophilus,1.000,0.000,0.000,79.990
Pteronotus,1.000,0.000,0.000,79.990
Caluromys,1.000,0.000,0.000,79.990
Pucrasia,1.000,0.000,0.000,79.990
Caenolestes,1.000,0.000,0.000,10.959
Macropus,1.000,0.000,0.000,Inf
Mesechinus,1.000,0.000,0.000,79.990
Proechimys,1.000,1.027,0.017,20.134
Eothenomys,0.327,Inf,0.053,Inf
Bison,0.327,Inf,0.053,Inf
Dipodidae,1.000,0.000,0.000,79.990
Poliocrania,1.000,0.000,0.000,79.990
Polyplectron,1.000,0.000,0.000,79.990
Puma,1.000,0.000,0.000,79.990
Potorous,1.000,0.000,0.000,Inf
Phocoena,1.000,0.000,0.000,Inf
Campephilus,1.000,0.000,0.000,10.959
Eremitalpa,1.000,0.000,0.000,Inf
Cavia,1.000,0.000,0.000,79.990
Maxomys,0.327,Inf,0.053,Inf
Aethopyga,1.000,0.000,0.000,79.990
Hylobates,0.327,Inf,0.053,Inf
Suthora,1.000,0.000,0.000,79.990
Choeroniscus,1.000,0.000,0.000,79.990
Niviventer,1.000,0.000,0.000,Inf
Monodelphis,1.000,0.000,0.000,79.990
Antechinus,0.327,Inf,0.053,Inf
Ardeola,1.000,0.000,0.000,79.990
Callipepla,1.000,0.000,0.000,79.990
Pachylemur,0.327,Inf,0.053,Inf
Lynx,0.552,0.000,0.000,4.977
Cricetulus,1.000,0.000,0.000,79.990
Allocebus,0.549,2.063,0.026,163.889
Coraciiformes,1.000,0.000,0.000,79.990
Wyulda,1.000,0.000,0.000,79.990
Dactylopsila,0.549,2.063,0.026,163.889
Macaca,1.000,0.000,0.000,79.990
Mesoplodon,1.000,0.000,0.000,79.990
Tragelaphus,1.000,0.000,0.000,Inf
Orycteropus,1.000,0.000,0.000,Inf
Rhombomys,1.000,0.000,0.000,Inf
Camelus,1.000,0.000,0.000,79.990
Cuon,0.549,2.063,0.026,163.889
Spilogale,0.549,2.063,0.026,163.889
Conirostrum,1.000,0.000,0.000,Inf
Centropus,0.549,2.063,0.026,163.889
Trachops,1.000,0.000,0.000,79.990
Wiedomys,1.000,0.000,0.000,Inf
Pseudomys,1.000,0.000,0.000,Inf
Urotrichus,1.000,0.000,0.000,10.959
Tachybaptus,1.000,0.000,0.000,79.990
Acanthis,1.000,0.000,0.000,79.990
Alcedo,1.000,0.000,0.000,79.990
Callimico,0.327,Inf,0.053,Inf
Eudyptes,1.000,0.000,0.000,79.990
Habromys,0.327,Inf,0.053,Inf
Mirza,0.327,Inf,0.053,Inf
Spheniscus,1.000,0.000,0.000,79.990
Cynomys,1.000,0.000,0.000,Inf
Phoca,0.327,Inf,0.053,Inf
Chaetura,1.000,0.000,0.000,79.990
Echimys,1.000,0.000,0.000,79.990
Hylonycteris,1.000,0.000,0.000,79.990
Lyrurus,1.000,0.000,0.000,79.990
Phacochoerus,0.549,2.063,0.026,163.889
Raphicerus,1.000,0.000,0.000,79.990
Lepilemur,1.000,0.000,0.000,Inf
Chrysocyon,0.327,Inf,0.053,Inf
