Genus,Pvalue,Odds ratio,95% confidence interval lower,95% confidence interval upper
Microbates,1.000,0.000,0.000,Inf
Myiothlypis,1.000,0.000,0.000,Inf
Myrmelastes,1.000,0.000,0.000,Inf
Niltava,1.000,0.000,0.000,Inf
Ningaui,1.000,0.000,0.000,Inf
Notiomystis,1.000,0.000,0.000,Inf
Nyctimene,1.000,0.000,0.000,Inf
Ocreatus,1.000,0.000,0.000,Inf
Oenanthe,1.000,0.000,0.000,Inf
Ondatra,1.000,0.000,0.000,Inf
Oreothlypis,1.000,0.000,0.000,Inf
Ortalis,1.000,0.000,0.000,Inf
Oxyura,1.000,0.000,0.000,Inf
Panurus,1.000,0.000,0.000,Inf
Parahydromys,1.000,0.000,0.000,Inf
Pauxi,1.000,0.000,0.000,Inf
Pedetes,1.000,0.000,0.000,Inf
Penelopides,1.000,0.000,0.000,Inf
Petronia,1.000,0.000,0.000,Inf
Pezoporus,1.000,0.000,0.000,Inf
Phaenostictus,1.000,0.000,0.000,Inf
Phalaropus,1.000,0.000,0.000,Inf
Phaps,1.000,0.000,0.000,Inf
Philentoma,1.000,0.000,0.000,Inf
Phimosus,1.000,0.000,0.000,Inf
Phyllostomus,1.000,0.000,0.000,Inf
Podoces,1.000,0.000,0.000,Inf
Podomys,1.000,0.000,0.000,Inf
Poecilotriccus,1.000,0.000,0.000,Inf
Poicephalus,1.000,0.000,0.000,Inf
Polioptila,1.000,0.000,0.000,Inf
Probosciger,1.000,0.000,0.000,Inf
Psilorhamphus,1.000,0.000,0.000,Inf
Ptyonoprogne,1.000,0.000,0.000,Inf
Pulsatrix,1.000,0.000,0.000,Inf
Pyrrholaemus,1.000,0.000,0.000,Inf
Quiscalus,1.000,0.000,0.000,Inf
Rallus,1.000,0.000,0.000,Inf
Remiz,1.000,0.000,0.000,Inf
Rhynchocyclus,1.000,0.000,0.000,Inf
Salpinctes,1.000,0.000,0.000,Inf
Santamartamys,1.000,0.000,0.000,Inf
Sericulus,1.000,0.000,0.000,Inf
Soriculus,1.000,0.000,0.000,Inf
Stigmatura,1.000,0.000,0.000,Inf
Strigops,1.000,0.000,0.000,Inf
Sturnia,1.000,0.000,0.000,Inf
Synaptomys,1.000,0.000,0.000,Inf
Tachyeres,1.000,0.000,0.000,Inf
Tachyphonus,1.000,0.000,0.000,Inf
Tamiasciurus,1.000,0.000,0.000,Inf
Telophorus,1.000,0.000,0.000,Inf
Thyroptera,1.000,0.000,0.000,Inf
Turacoena,1.000,0.000,0.000,Inf
Turtur,1.000,0.000,0.000,Inf
Tylonycteris,1.000,0.000,0.000,Inf
Tyrannulus,1.000,0.000,0.000,Inf
Vampyrodes,1.000,0.000,0.000,Inf
Vidua,1.000,0.000,0.000,Inf
Xerospermophilus,1.000,0.000,0.000,Inf
Zaglossus,1.000,0.000,0.000,Inf
Zapus,1.000,0.000,0.000,Inf
Euphonia,1.000,0.000,0.000,Inf
Phrygilus,1.000,0.000,0.000,Inf
Sicalis,1.000,0.000,0.000,Inf
Leptasthenura,1.000,0.000,0.000,Inf
Eonycteris,1.000,0.000,0.000,Inf
Traversia,1.000,0.000,0.000,Inf
Merops,1.000,0.000,0.000,Inf
Chlorophonia,1.000,0.000,0.000,Inf
Ototylomys,1.000,0.000,0.000,Inf
Aepyprymnus,1.000,0.000,0.000,Inf
Apteryx,1.000,0.000,0.000,Inf
Juliamyia,1.000,0.000,0.000,Inf
Allochrocebus,1.000,0.000,0.000,Inf
Macronus,1.000,0.000,0.000,Inf
Cheracebus,1.000,0.000,0.000,Inf
Alticola,1.000,0.000,0.000,Inf
Lenothrix,1.000,0.000,0.000,Inf
Tyrannus,1.000,0.000,0.000,Inf
Cannomys,1.000,0.000,0.000,Inf
Leggadina,1.000,0.000,0.000,Inf
Habia,1.000,0.000,0.000,Inf
Condylura,1.000,0.000,0.000,Inf
Andinomys,1.000,0.000,0.000,Inf
Procellaria,1.000,0.000,0.000,Inf
Beatragus,1.000,0.000,0.000,Inf
Corynorhinus,1.000,0.000,0.000,Inf
Phascogale,1.000,0.000,0.000,Inf
Spermophilopsis,1.000,0.000,0.000,Inf
Dacnis,1.000,0.000,0.000,Inf
Dendropicos,1.000,0.000,0.000,Inf
Juliomys,1.000,0.000,0.000,Inf
Ellobius,1.000,0.000,0.000,Inf
Hexaprotodon,1.000,0.000,0.000,Inf
Manacus,1.000,0.000,0.000,Inf
Melospiza,1.000,0.000,0.000,Inf
Myrmoderus,1.000,0.000,0.000,Inf
Calcarius,1.000,0.000,0.000,Inf
Cebinae,1.000,0.000,0.000,Inf
Petinomys,1.000,0.000,0.000,Inf
Phacellodomus,1.000,0.000,0.000,Inf
Tchagra,1.000,0.000,0.000,Inf
Chodsigoa,1.000,0.000,0.000,Inf
Leuconotopicus,1.000,0.000,0.000,Inf
Phaner,1.000,0.000,0.000,Inf
Plagiodontia,1.000,0.000,0.000,Inf
Pseudorca,1.000,0.000,0.000,Inf
Puffinus,1.000,0.000,0.000,Inf
Rynchops,1.000,0.000,0.000,Inf
Elasmotherium,1.000,0.000,0.000,Inf
Lophuromys,1.000,0.000,0.000,Inf
Harpiocephalus,1.000,0.000,0.000,Inf
Neomonachus,1.000,0.000,0.000,Inf
Smithornis,1.000,0.000,0.000,Inf
Solenodon,1.000,0.000,0.000,Inf
Tigrisoma,1.000,0.000,0.000,Inf
Chironax,1.000,0.000,0.000,Inf
Corythopis,1.000,0.000,0.000,Inf
Jaculus,1.000,0.000,0.000,Inf
Meiglyptes,1.000,0.000,0.000,Inf
Paruromys,1.000,0.000,0.000,Inf
Phataginus,1.000,0.000,0.000,Inf
Philetor,1.000,0.000,0.000,Inf
Semnornis,1.000,0.000,0.000,Inf
Trichys,1.000,0.000,0.000,Inf
Buceros,1.000,0.000,0.000,Inf
Camaroptera,1.000,0.000,0.000,Inf
Criniger,1.000,0.000,0.000,Inf
Delphinapterus,1.000,0.000,0.000,Inf
Eumops,1.000,0.000,0.000,Inf
Geronticus,1.000,0.000,0.000,Inf
Hymenolaimus,1.000,0.000,0.000,Inf
Megaptera,1.000,0.000,0.000,Inf
Mimus,1.000,0.000,0.000,Inf
Mitu,1.000,0.000,0.000,Inf
Nycticeius,1.000,0.000,0.000,Inf
Nyctomys,1.000,0.000,0.000,Inf
Origma,1.000,0.000,0.000,Inf
Smilodon,1.000,0.000,0.000,Inf
Sousa,1.000,0.000,0.000,Inf
Barbastella,1.000,0.000,0.000,Inf
Burramys,1.000,0.000,0.000,Inf
Falconiformes,1.000,0.000,0.000,Inf
Gallicolumba,1.000,0.000,0.000,Inf
Hylophilus,1.000,0.000,0.000,Inf
Laterallus,1.000,0.000,0.000,Inf
Leptopogon,1.000,0.000,0.000,Inf
Myiopagis,1.000,0.000,0.000,Inf
Myonycteris,1.000,0.000,0.000,Inf
Nectomys,1.000,0.000,0.000,Inf
Otomops,1.000,0.000,0.000,Inf
Sciurotamias,1.000,0.000,0.000,Inf
Trogoniformes,1.000,0.000,0.000,Inf
Aplonis,1.000,0.000,0.000,Inf
Asthenes,1.000,0.000,0.000,Inf
Baiomys,1.000,0.000,0.000,Inf
Calomyscus,1.000,0.000,0.000,Inf
Certhia,1.000,0.000,0.000,Inf
Chloephaga,1.000,0.000,0.000,Inf
Daphoenositta,1.000,0.000,0.000,Inf
Doedicurus,1.000,0.000,0.000,Inf
Exilisciurus,1.000,0.000,0.000,Inf
Hapalomys,1.000,0.000,0.000,Inf
Knipolegus,1.000,0.000,0.000,Inf
Leucocarbo,1.000,0.000,0.000,Inf
Lutrogale,1.000,0.000,0.000,Inf
Megastictus,1.000,0.000,0.000,Inf
Melanotis,1.000,0.000,0.000,Inf
Mniotilta,1.000,0.000,0.000,Inf
Muscisaxicola,1.000,0.000,0.000,Inf
Myiodynastes,1.000,0.000,0.000,Inf
Nycteris,1.000,0.000,0.000,Inf
Onychomys,1.000,0.000,0.000,Inf
Otidiphaps,1.000,0.000,0.000,Inf
Phenacomys,1.000,0.000,0.000,Inf
Picoides,1.000,0.000,0.000,Inf
Potos,1.000,0.000,0.000,Inf
Pseudantechinus,1.000,0.000,0.000,Inf
Psilopogon,1.000,0.000,0.000,Inf
Ptenochirus,1.000,0.000,0.000,Inf
Setonix,1.000,0.000,0.000,Inf
Sinosuthora,1.000,0.000,0.000,Inf
Sphyrapicus,1.000,0.000,0.000,Inf
Tarsiger,1.000,0.000,0.000,Inf
Agelaius,1.000,0.000,0.000,Inf
Amytornis,1.000,0.000,0.000,Inf
Ardenna,1.000,0.000,0.000,Inf
Brachiones,1.000,0.000,0.000,Inf
Camptostoma,1.000,0.000,0.000,Inf
Carduelis,1.000,0.000,0.000,Inf
Cepphus,1.000,0.000,0.000,Inf
Chilomys,1.000,0.000,0.000,Inf
Chiropodomys,1.000,0.000,0.000,Inf
Chlamydotis,1.000,0.000,0.000,Inf
Coeligena,1.000,0.000,0.000,Inf
Crotophaga,1.000,0.000,0.000,Inf
Crypturellus,1.000,0.000,0.000,Inf
Deltamys,1.000,0.000,0.000,Inf
Dinornis,1.000,0.000,0.000,Inf
Formicarius,1.000,0.000,0.000,Inf
Geokichla,1.000,0.000,0.000,Inf
Halmaheramys,1.000,0.000,0.000,Inf
Hyomys,1.000,0.000,0.000,Inf
Leiothlypis,1.000,0.000,0.000,Inf
Lonchorhina,1.000,0.000,0.000,Inf
Lorius,1.000,0.000,0.000,Inf
Malacopteron,1.000,0.000,0.000,Inf
Margarops,1.000,0.000,0.000,Inf
Melanomys,1.000,0.000,0.000,Inf
Microdipodops,1.000,0.000,0.000,Inf
Morus,1.000,0.000,0.000,Inf
Murexia,1.000,0.000,0.000,Inf
Muscicapa,1.000,0.000,0.000,Inf
Nomonyx,1.000,0.000,0.000,Inf
Onychoprion,1.000,0.000,0.000,Inf
Oreomystis,1.000,0.000,0.000,Inf
Osgoodomys,1.000,0.000,0.000,Inf
Phodilus,1.000,0.000,0.000,Inf
Phylloscartes,1.000,0.000,0.000,Inf
Phyllotis,1.000,0.000,0.000,Inf
Pipile,1.000,0.000,0.000,Inf
Pogoniulus,1.000,0.000,0.000,Inf
Prodotiscus,1.000,0.000,0.000,Inf
Rhynchotus,1.000,0.000,0.000,Inf
Sayornis,1.000,0.000,0.000,Inf
Scotinomys,1.000,0.000,0.000,Inf
Scytalopus,1.000,0.000,0.000,Inf
Spizella,1.000,0.000,0.000,Inf
Sporophila,1.000,0.000,0.000,Inf
Stenonycteris,1.000,0.000,0.000,Inf
Syndactyla,1.000,0.000,0.000,Inf
Thamnophilus,1.000,0.000,0.000,Inf
Thrichomys,1.000,0.000,0.000,Inf
Tolmomyias,1.000,0.000,0.000,Inf
Xenops,1.000,0.000,0.000,Inf
Zebrilus,1.000,0.000,0.000,Inf
Acanthisitta,1.000,0.000,0.000,Inf
Accipitriformes,1.000,0.000,0.000,Inf
Actenoides,1.000,0.000,0.000,Inf
Actinodura,1.000,0.000,0.000,Inf
Adelomyia,1.000,0.000,0.000,Inf
Aegolius,1.000,0.000,0.000,Inf
Aerodramus,1.000,0.000,0.000,Inf
Aethalops,1.000,0.000,0.000,Inf
Afrotis,1.000,0.000,0.000,Inf
Agropsar,1.000,0.000,0.000,Inf
Alophoixus,1.000,0.000,0.000,Inf
Amalocichla,1.000,0.000,0.000,Inf
Amphispiza,1.000,0.000,0.000,Inf
Anairetes,1.000,0.000,0.000,Inf
Anodorhynchus,1.000,0.000,0.000,Inf
Antechinomys,1.000,0.000,0.000,Inf
Anthornis,1.000,0.000,0.000,Inf
Antrozous,1.000,0.000,0.000,Inf
Anumbius,1.000,0.000,0.000,Inf
Apalis,1.000,0.000,0.000,Inf
Aphelocephala,1.000,0.000,0.000,Inf
Aramus,1.000,0.000,0.000,Inf
Arctotherium,1.000,0.000,0.000,Inf
Arizelocichla,1.000,0.000,0.000,Inf
Arundinicola,1.000,0.000,0.000,Inf
Asellia,1.000,0.000,0.000,Inf
Atelocynus,1.000,0.000,0.000,Inf
Athene,1.000,0.000,0.000,Inf
Atlantisia,1.000,0.000,0.000,Inf
Baeolophus,1.000,0.000,0.000,Inf
Balaeniceps,1.000,0.000,0.000,Inf
Balantiopteryx,1.000,0.000,0.000,Inf
Baryphthengus,1.000,0.000,0.000,Inf
Basilinna,1.000,0.000,0.000,Inf
Bauerus,1.000,0.000,0.000,Inf
Biziura,1.000,0.000,0.000,Inf
Bleda,1.000,0.000,0.000,Inf
Bolborhynchus,1.000,0.000,0.000,Inf
Brachypteracias,1.000,0.000,0.000,Inf
Brachypteryx,1.000,0.000,0.000,Inf
Bucco,1.000,0.000,0.000,Inf
Bulweria,1.000,0.000,0.000,Inf
Buphagus,1.000,0.000,0.000,Inf
Butastur,1.000,0.000,0.000,Inf
Cacomantis,1.000,0.000,0.000,Inf
Calandrella,1.000,0.000,0.000,Inf
Calliphlox,1.000,0.000,0.000,Inf
Callistomys,1.000,0.000,0.000,Inf
Calocitta,1.000,0.000,0.000,Inf
Camelops,1.000,0.000,0.000,Inf
Campylorhamphus,1.000,0.000,0.000,Inf
Cantorchilus,1.000,0.000,0.000,Inf
Capito,1.000,0.000,0.000,Inf
Caracara,1.000,0.000,0.000,Inf
Cardellina,1.000,0.000,0.000,Inf
Cardioderma,1.000,0.000,0.000,Inf
Ceblepyris,1.000,0.000,0.000,Inf
Centrocercus,1.000,0.000,0.000,Inf
Cercomacroides,1.000,0.000,0.000,Inf
Cerorhinca,1.000,0.000,0.000,Inf
Certhiasomus,1.000,0.000,0.000,Inf
Cettia,1.000,0.000,0.000,Inf
Chaetomys,1.000,0.000,0.000,Inf
Chalcomitra,1.000,0.000,0.000,Inf
Chenonetta,1.000,0.000,0.000,Inf
Chiroxiphia,1.000,0.000,0.000,Inf
Chlidonias,1.000,0.000,0.000,Inf
Choeronycteris,1.000,0.000,0.000,Inf
Chrysophlegma,1.000,0.000,0.000,Inf
Cinclocerthia,1.000,0.000,0.000,Inf
Cingulata,1.000,0.000,0.000,Inf
Cinnyricinclus,1.000,0.000,0.000,Inf
Circaetus,1.000,0.000,0.000,Inf
Cisticola,1.000,0.000,0.000,Inf
Cistothorus,1.000,0.000,0.000,Inf
Clangula,1.000,0.000,0.000,Inf
Coccothraustes,1.000,0.000,0.000,Inf
Cochlearius,1.000,0.000,0.000,Inf
Coelops,1.000,0.000,0.000,Inf
Coleura,1.000,0.000,0.000,Inf
Colius,1.000,0.000,0.000,Inf
Collocalia,1.000,0.000,0.000,Inf
Colluricincla,1.000,0.000,0.000,Inf
Conopophaga,1.000,0.000,0.000,Inf
Coracias,1.000,0.000,0.000,Inf
Coragyps,1.000,0.000,0.000,Inf
Corythornis,1.000,0.000,0.000,Inf
Cotinga,1.000,0.000,0.000,Inf
Creatophora,1.000,0.000,0.000,Inf
Crinifer,1.000,0.000,0.000,Inf
Cuculiformes,1.000,0.000,0.000,Inf
Cursorius,1.000,0.000,0.000,Inf
Cyanochen,1.000,0.000,0.000,Inf
Cyanocitta,1.000,0.000,0.000,Inf
Cyanoliseus,1.000,0.000,0.000,Inf
Cyanomitra,1.000,0.000,0.000,Inf
Cyanoramphus,1.000,0.000,0.000,Inf
Cymbilaimus,1.000,0.000,0.000,Inf
Cypseloides,1.000,0.000,0.000,Inf
Dacnomys,1.000,0.000,0.000,Inf
Daption,1.000,0.000,0.000,Inf
Dasycercus,1.000,0.000,0.000,Inf
Dasyprocta,1.000,0.000,0.000,Inf
Deconychura,1.000,0.000,0.000,Inf
Delichon,1.000,0.000,0.000,Inf
Dendrocolaptes,1.000,0.000,0.000,Inf
Dendrocoptes,1.000,0.000,0.000,Inf
Dendroplex,1.000,0.000,0.000,Inf
Deroptyus,1.000,0.000,0.000,Inf
Desmana,1.000,0.000,0.000,Inf
Diopsittaca,1.000,0.000,0.000,Inf
Diphylla,1.000,0.000,0.000,Inf
Donacospiza,1.000,0.000,0.000,Inf
Dorcopsulus,1.000,0.000,0.000,Inf
Drymophila,1.000,0.000,0.000,Inf
Dryoscopus,1.000,0.000,0.000,Inf
Dumetella,1.000,0.000,0.000,Inf
Dyacopterus,1.000,0.000,0.000,Inf
Echimyidae,1.000,0.000,0.000,Inf
Elaenia,1.000,0.000,0.000,Inf
Elminia,1.000,0.000,0.000,Inf
Elseyornis,1.000,0.000,0.000,Inf
Elvira,1.000,0.000,0.000,Inf
Embernagra,1.000,0.000,0.000,Inf
Empidonomus,1.000,0.000,0.000,Inf
Enicurus,1.000,0.000,0.000,Inf
Ensifera,1.000,0.000,0.000,Inf
Eolagurus,1.000,0.000,0.000,Inf
Eophona,1.000,0.000,0.000,Inf
Eos,1.000,0.000,0.000,Inf
Erythrogonys,1.000,0.000,0.000,Inf
Estrilda,1.000,0.000,0.000,Inf
Euchrepomis,1.000,0.000,0.000,Inf
Eumomota,1.000,0.000,0.000,Inf
Euodice,1.000,0.000,0.000,Inf
Eupherusa,1.000,0.000,0.000,Inf
Eurillas,1.000,0.000,0.000,Inf
Eurostopodus,1.000,0.000,0.000,Inf
Eurypyga,1.000,0.000,0.000,Inf
Falcipennis,1.000,0.000,0.000,Inf
Fratercula,1.000,0.000,0.000,Inf
Fulvetta,1.000,0.000,0.000,Inf
Furnarius,1.000,0.000,0.000,Inf
Galerida,1.000,0.000,0.000,Inf
Gelochelidon,1.000,0.000,0.000,Inf
Geocolaptes,1.000,0.000,0.000,Inf
Geositta,1.000,0.000,0.000,Inf
Gerbillus,1.000,0.000,0.000,Inf
Glaucis,1.000,0.000,0.000,Inf
Glischropus,1.000,0.000,0.000,Inf
Glyphorynchus,1.000,0.000,0.000,Inf
Grallaricula,1.000,0.000,0.000,Inf
Grallina,1.000,0.000,0.000,Inf
Grammomys,1.000,0.000,0.000,Inf
Graydidascalus,1.000,0.000,0.000,Inf
Guaruba,1.000,0.000,0.000,Inf
Gubernetes,1.000,0.000,0.000,Inf
Gymnorhina,1.000,0.000,0.000,Inf
Gymnorhinus,1.000,0.000,0.000,Inf
Haematortyx,1.000,0.000,0.000,Inf
Haliastur,1.000,0.000,0.000,Inf
Hapalopsittaca,1.000,0.000,0.000,Inf
Harpactes,1.000,0.000,0.000,Inf
Hedydipna,1.000,0.000,0.000,Inf
Hemiprocne,1.000,0.000,0.000,Inf
Hemispingus,1.000,0.000,0.000,Inf
Hemithraupis,1.000,0.000,0.000,Inf
Hemitriccus,1.000,0.000,0.000,Inf
Hemixos,1.000,0.000,0.000,Inf
Herpetotheres,1.000,0.000,0.000,Inf
Heteronetta,1.000,0.000,0.000,Inf
Heterophasia,1.000,0.000,0.000,Inf
Hieraaetus,1.000,0.000,0.000,Inf
Himantopus,1.000,0.000,0.000,Inf
Histriophoca,1.000,0.000,0.000,Inf
Horornis,1.000,0.000,0.000,Inf
Hydrobates,1.000,0.000,0.000,Inf
Hydrophasianus,1.000,0.000,0.000,Inf
Hydropsalis,1.000,0.000,0.000,Inf
Hylacola,1.000,0.000,0.000,Inf
Hylexetastes,1.000,0.000,0.000,Inf
Hylia,1.000,0.000,0.000,Inf
Hyliota,1.000,0.000,0.000,Inf
Hypositta,1.000,0.000,0.000,Inf
Hypsipetes,1.000,0.000,0.000,Inf
Ia,1.000,0.000,0.000,Inf
Icteria,1.000,0.000,0.000,Inf
Idiurus,1.000,0.000,0.000,Inf
Iduna,1.000,0.000,0.000,Inf
Indopacetus,1.000,0.000,0.000,Inf
Irena,1.000,0.000,0.000,Inf
Isleria,1.000,0.000,0.000,Inf
Junco,1.000,0.000,0.000,Inf
Kurochkinegramma,1.000,0.000,0.000,Inf
Leistes,1.000,0.000,0.000,Inf
Leporillus,1.000,0.000,0.000,Inf
Leptopterus,1.000,0.000,0.000,Inf
Leptotrygon,1.000,0.000,0.000,Inf
Lerwa,1.000,0.000,0.000,Inf
Leucophaeus,1.000,0.000,0.000,Inf
Liocichla,1.000,0.000,0.000,Inf
Lissodelphis,1.000,0.000,0.000,Inf
Lontra,1.000,0.000,0.000,Inf
Lophoceros,1.000,0.000,0.000,Inf
Lophodytes,1.000,0.000,0.000,Inf
Lophotriccus,1.000,0.000,0.000,Inf
Machaeropterus,1.000,0.000,0.000,Inf
Macrophyllum,1.000,0.000,0.000,Inf
Malacoptila,1.000,0.000,0.000,Inf
Marmaronetta,1.000,0.000,0.000,Inf
Mecocerculus,1.000,0.000,0.000,Inf
Megadyptes,1.000,0.000,0.000,Inf
Melanocorypha,1.000,0.000,0.000,Inf
Melanopareia,1.000,0.000,0.000,Inf
Meliphaga,1.000,0.000,0.000,Inf
Mergellus,1.000,0.000,0.000,Inf
Mesophylla,1.000,0.000,0.000,Inf
Metopidius,1.000,0.000,0.000,Inf
Microcarbo,1.000,0.000,0.000,Inf
Milvago,1.000,0.000,0.000,Inf
Milvus,1.000,0.000,0.000,Inf
Mirostrellus,1.000,0.000,0.000,Inf
Mitrephanes,1.000,0.000,0.000,Inf
Moho,1.000,0.000,0.000,Inf
Mohoua,1.000,0.000,0.000,Inf
Momotus,1.000,0.000,0.000,Inf
Monticola,1.000,0.000,0.000,Inf
Mormoops,1.000,0.000,0.000,Inf
Mulleripicus,1.000,0.000,0.000,Inf
Murinae,1.000,0.000,0.000,Inf
Mycteria,1.000,0.000,0.000,Inf
Myiobius,1.000,0.000,0.000,Inf
Myrmoborus,1.000,0.000,0.000,Inf
Myrmophylax,1.000,0.000,0.000,Inf
Myrmornis,1.000,0.000,0.000,Inf
Myrmothera,1.000,0.000,0.000,Inf
Nelsonia,1.000,0.000,0.000,Inf
Neochen,1.000,0.000,0.000,Inf
Neopelma,1.000,0.000,0.000,Inf
Neosericornis,1.000,0.000,0.000,Inf
Nesokia,1.000,0.000,0.000,Inf
Nesopsar,1.000,0.000,0.000,Inf
Nonnula,1.000,0.000,0.000,Inf
Notiochelidon,1.000,0.000,0.000,Inf
Notiosorex,1.000,0.000,0.000,Inf
Notopholia,1.000,0.000,0.000,Inf
Nycticryphes,1.000,0.000,0.000,Inf
Nyctipolus,1.000,0.000,0.000,Inf
Ochthoeca,1.000,0.000,0.000,Inf
Octomys,1.000,0.000,0.000,Inf
Odontophorus,1.000,0.000,0.000,Inf
Oena,1.000,0.000,0.000,Inf
Oreolais,1.000,0.000,0.000,Inf
Orientallactaga,1.000,0.000,0.000,Inf
Osphranter,1.000,0.000,0.000,Inf
Otonycteris,1.000,0.000,0.000,Inf
Pachycoccyx,1.000,0.000,0.000,Inf
Parastrellus,1.000,0.000,0.000,Inf
Pardirallus,1.000,0.000,0.000,Inf
Parkesia,1.000,0.000,0.000,Inf
Parvipsitta,1.000,0.000,0.000,Inf
Pelagodroma,1.000,0.000,0.000,Inf
Peltohyas,1.000,0.000,0.000,Inf
Pernis,1.000,0.000,0.000,Inf
Petrochelidon,1.000,0.000,0.000,Inf
Petrophassa,1.000,0.000,0.000,Inf
Phaenicophaeus,1.000,0.000,0.000,Inf
Phascolosorex,1.000,0.000,0.000,Inf
Phyllastrephus,1.000,0.000,0.000,Inf
Phyllomyias,1.000,0.000,0.000,Inf
Phyllops,1.000,0.000,0.000,Inf
Picathartes,1.000,0.000,0.000,Inf
Picus,1.000,0.000,0.000,Inf
Pinguinus,1.000,0.000,0.000,Inf
Pionites,1.000,0.000,0.000,Inf
Pionopsitta,1.000,0.000,0.000,Inf
Pithecophaga,1.000,0.000,0.000,Inf
Pithys,1.000,0.000,0.000,Inf
Plectrophenax,1.000,0.000,0.000,Inf
Pluvialis,1.000,0.000,0.000,Inf
Pluvianellus,1.000,0.000,0.000,Inf
Pnoepyga,1.000,0.000,0.000,Inf
Poliocephalus,1.000,0.000,0.000,Inf
Polytelis,1.000,0.000,0.000,Inf
Polytmus,1.000,0.000,0.000,Inf
Prionochilus,1.000,0.000,0.000,Inf
Proteles,1.000,0.000,0.000,Inf
Protemnodon,1.000,0.000,0.000,Inf
Protonotaria,1.000,0.000,0.000,Inf
Psephotellus,1.000,0.000,0.000,Inf
Psephotus,1.000,0.000,0.000,Inf
Pseudopipra,1.000,0.000,0.000,Inf
Pseudorectes,1.000,0.000,0.000,Inf
Pseudoseisura,1.000,0.000,0.000,Inf
Psilopsiagon,1.000,0.000,0.000,Inf
Psilorhinus,1.000,0.000,0.000,Inf
Psittaciformes,1.000,0.000,0.000,Inf
Psittaculirostris,1.000,0.000,0.000,Inf
Psittiparus,1.000,0.000,0.000,Inf
Pternistis,1.000,0.000,0.000,Inf
Pteronetta,1.000,0.000,0.000,Inf
Ptilonorhynchus,1.000,0.000,0.000,Inf
Ptilotula,1.000,0.000,0.000,Inf
Ptychoramphus,1.000,0.000,0.000,Inf
Purpureicephalus,1.000,0.000,0.000,Inf
Pycnonotidae,1.000,0.000,0.000,Inf
Pyrilia,1.000,0.000,0.000,Inf
Pyrocephalus,1.000,0.000,0.000,Inf
Querula,1.000,0.000,0.000,Inf
Ramphocinclus,1.000,0.000,0.000,Inf
Rhagologus,1.000,0.000,0.000,Inf
Rhipidomys,1.000,0.000,0.000,Inf
Rhodinocichla,1.000,0.000,0.000,Inf
Riparia,1.000,0.000,0.000,Inf
Sagittarius,1.000,0.000,0.000,Inf
Salpingotus,1.000,0.000,0.000,Inf
Saltatricula,1.000,0.000,0.000,Inf
Sarcogyps,1.000,0.000,0.000,Inf
Saxicola,1.000,0.000,0.000,Inf
Sceloglaux,1.000,0.000,0.000,Inf
Schetba,1.000,0.000,0.000,Inf
Schistes,1.000,0.000,0.000,Inf
Seiurus,1.000,0.000,0.000,Inf
Selasphorus,1.000,0.000,0.000,Inf
Sericornis,1.000,0.000,0.000,Inf
Setopagis,1.000,0.000,0.000,Inf
Sholicola,1.000,0.000,0.000,Inf
Sialia,1.000,0.000,0.000,Inf
Sigmodontinae,1.000,0.000,0.000,Inf
Sooretamys,1.000,0.000,0.000,Inf
Spelaeornis,1.000,0.000,0.000,Inf
Spilocuscus,1.000,0.000,0.000,Inf
Spizixos,1.000,0.000,0.000,Inf
Stactolaema,1.000,0.000,0.000,Inf
Stelgidopteryx,1.000,0.000,0.000,Inf
Stephanorhinus,1.000,0.000,0.000,Inf
Stiltia,1.000,0.000,0.000,Inf
Stizorhina,1.000,0.000,0.000,Inf
Sublegatus,1.000,0.000,0.000,Inf
Sula,1.000,0.000,0.000,Inf
Suliformes,1.000,0.000,0.000,Inf
Surnia,1.000,0.000,0.000,Inf
Talpidae,1.000,0.000,0.000,Inf
Taraba,1.000,0.000,0.000,Inf
Terenotriccus,1.000,0.000,0.000,Inf
Tetrao,1.000,0.000,0.000,Inf
Thalurania,1.000,0.000,0.000,Inf
Thamnistes,1.000,0.000,0.000,Inf
Thinornis,1.000,0.000,0.000,Inf
Tockus,1.000,0.000,0.000,Inf
Torgos,1.000,0.000,0.000,Inf
Touit,1.000,0.000,0.000,Inf
Toxostoma,1.000,0.000,0.000,Inf
Treron,1.000,0.000,0.000,Inf
Triaenops,1.000,0.000,0.000,Inf
Trichastoma,1.000,0.000,0.000,Inf
Trugon,1.000,0.000,0.000,Inf
Turnix,1.000,0.000,0.000,Inf
Tylas,1.000,0.000,0.000,Inf
Tympanuchus,1.000,0.000,0.000,Inf
Tyranneutes,1.000,0.000,0.000,Inf
Upucerthia,1.000,0.000,0.000,Inf
Urocolius,1.000,0.000,0.000,Inf
Urodynamis,1.000,0.000,0.000,Inf
Uropelia,1.000,0.000,0.000,Inf
Urorhipis,1.000,0.000,0.000,Inf
Urosphena,1.000,0.000,0.000,Inf
Urva,1.000,0.000,0.000,Inf
Vermivora,1.000,0.000,0.000,Inf
Vernaya,1.000,0.000,0.000,Inf
Vespertilionidae,1.000,0.000,0.000,Inf
Xanthotis,1.000,0.000,0.000,Inf
Xema,1.000,0.000,0.000,Inf
Xenicus,1.000,0.000,0.000,Inf
Xenopipo,1.000,0.000,0.000,Inf
Xenopirostris,1.000,0.000,0.000,Inf
Xenus,1.000,0.000,0.000,Inf
