Genus,Env_0002b,Env_0014,Env_0015,Env_0018,Env_0020,Env_0033,Env_0055,Env_0061,Env_0063,Env_0087,Env_0088,Env_0090,Env_0096,Env_0101,Env_0126,Env_0138,Env_0213,Env_0221,Env_0262,Env_0275,Env_0313,Env_0346,Env_0354,Env_0398,Env_0400,Env_0552,Env_0576,Env_0579,Env_0583,Env_0584,Env_0585,Env_0660,Env_0664,Env_0682,Env_0686,Env_0717,Env_0719,Env_0742,Env_0746,Env_0748,Env_0790,Env_0802,Env_0806,Env_0807,Env_0808,Env_0809,Env_0813,Env_0815,Env_0816,Env_0817,Env_0818,Env_0820,Env_0821,Env_0828,Env_0829,Env_0830,Env_0862,Env_0865,Env_0868,Env_0516,Env_0517,Env_0518,Env_0519,Env_0520,Env_0521,Env_0522,Env_0523,Env_0524,Env_0525,Env_0526,Env_0527,Env_0528,Env_0529,Env_0530,Env_0531,Env_0532,Env_0533,Env_0534,Env_0535,Env_0536,Env_0537,Env_0538,Env_0539,Env_0540,Env_0541,Env_0542,Env_0543,Env_0544,Env_0545,Env_0546,Env_0547,Env_0548,Env_0549,Env_0550,Env_0551,Env_0553,Env_0554,Env_0555,Env_0556,Env_0557,Env_0558,Env_0559,Env_0560,Env_0561,Env_0562,Env_0563,Env_0564,Env_0565,Env_0566,Env_0567,Env_0568,Env_0569,Env_0570,Env_0571,Env_0572,Env_0573,Env_0574,Env_0575,Env_0577,Env_0578,Env_0580,Env_0581,Env_0582,Env_0617,Env_0619,Env_0620,Env_0642,Env_0643,Env_0657,Env_0674,Env_0697,Env_0701,Env_0705,Env_0707,Env_0708,Env_0712,Env_0714,Env_0715,Env_0716,Env_0720,Env_0749,Env_0751,Env_0753,Env_0754,Env_0756,Env_0759,Env_0768,Env_0770,Env_0788,Env_0789,Env_0798,Env_0799,Env_0800,Env_0801,Env_0839,Env_0842,Env_0847,Env_0856,Env_0858,Env_0873,Env_0875,Env_0877,Env_0879,Env_0882,Env_0885,Env_0887,Env_0889,Env_0893,Env_0895,Env_0907,Env_0909
Nyctereutes,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9619,81,19,15,12,0,0,0,0,0,0,0,0,0,0,0,12,8,0,8,0,0,0,0,1,0,0,0,0,0,0,0,6,151,10,436,146,311,1303,868,363,110,251,948,2525,14,228,42,45,249,49,877,43,42,13,1238,163,23,132,85,10,2,150,0,0,0,0,1,0,2,1,4,23,0,124,213,160,183,193,3236,15,1520,7,3,4,4,0,2,88,0,8,14,129,46,824,229,5,0,0,0,0,0,0,0,0,4,0,2,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,2,0,1,0,0,4,0,0
Rhizomys,0,0,0,0,0,2,0,0,0,105,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,8,343,64,145,16,16,0,0,1,0,0,0,0,0,0,0,0,2,12,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,10,0,45,56,56,8,67,85,25,67,85,395,15,57,160,4,20,16,12,12,31,11,21,93,32,37,35,15,0,247,0,0,4,0,1,1,1,0,7,121,12,50,18,140,595,54,223,200,56,3,10,12,5,0,4,20,0,9,13,1127,53,2691,78,100,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,2,104,0,0,0,0,0
Glis,1,0,0,1,0,512,271,4,1,8,1,0,0,0,1,1,0,13,2,0,0,0,0,0,0,9,111,15,26,145,24,0,0,0,0,1,0,0,0,0,0,0,4,5,0,2,0,0,1,0,1,0,0,0,0,0,0,0,3,5,0,31,18,142,52,51,41,5,23,23,33,1,8,11,1,1,1,39,8,8,3,14,12,2,11,4,3,2,26,45,3,0,1,4,0,6,1,2,3,2,1,0,6,31,2,17,6,7,13,31,100,15,4,23,36,576,931,33,18,6,23,14,31,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,28,2,1,21,0,0,12,0,0
Oryctolagus,0,0,0,1,0,4,16,37,0,4,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,160,97,145,12,21,0,0,0,0,0,0,0,0,0,0,0,25,17,1,0,0,0,1,2,6,0,1,1,0,5,0,0,0,39,1,889,60,3843,128,781,2490,41,775,57,96,0,2,19,4,5,1,7,17,137,13,11,32,23,134,10,12,0,148,1,0,1,1,0,0,2,6,7,24,0,7,1,1,15,22,3,1,0,16,1,9,6,0,0,38,0,3,8,779,81,120,393,39,0,0,0,0,0,17,0,0,13,0,23,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,0,0,0,23,0,0
Lepus,0,0,0,0,0,3,5,7,0,16,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,223,35,19,8,1,60,0,0,0,0,0,0,0,0,0,0,0,8,24,33,8,0,0,0,1,0,0,1,1,0,0,0,0,17,4,1,33,30,243,3,20,64,6,20,44,104,7,4,17,3,12,7,379,5,19,4,60,18,6,120,33,1,1,33,35,9,89,3,54,3,55,48,10,2,2,2,4,68,242,9,5,21,17,22,4,6,4,0,9,37,1,5,1,142,8,14,22,22,0,0,10,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,30,12,11,0,0,10,0,0
Ovis,106,2,0,155,0,10,1991,3014,355,226,0,9,33,610,3917,737,644,272,441,4,0,4,14,13,55,26,53,5,0,18,3,0,0,0,2,0,4,0,0,0,0,0,76,1844,2,28,6,2,5,6,6,3,21,2,1,6,0,0,190,3,0,10,5,17,96,44,25,1,17,2,5,0,3,6,3,1,2,7,2,7,0,5,8,4,24,0,3,0,23,35,6,0,2,17,1,6,14,17,0,1,0,0,6,7,3,7,38,5,30,5,6,2,0,5,8,0,10,5,5,5,132,24,25,0,13,0,0,0,0,0,1,479,0,0,2,10,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Martes,0,0,0,0,0,0,5,6,2,2,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,52,379,7,8,243,85,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,3,0,0,0,1,0,2,0,1,1,0,0,23,12,0,60,101,73,100,65,33,16,53,61,258,1,13,2,4,57,7,40,2,6,1,64,20,3,15,10,2,0,14,74,0,16,3,3,0,6,2,12,5,12,6,11,7,11,11,118,3,31,4,5,4,3,2,1,27,11,12,1,23,6,37,31,5,0,0,15,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0
Neomys,1,0,0,4,0,1,28,15,0,3,0,0,0,1,67,5,15,1,170,0,0,0,0,0,0,6,91,9,8,37,36,0,0,0,0,0,0,0,0,0,0,0,3,17,0,4,0,0,1,0,2,1,0,0,1,0,0,0,10,6,0,24,26,48,34,26,18,3,15,27,34,1,5,5,1,6,1,5,1,4,0,5,3,0,7,3,2,0,5,208,1,1,2,3,0,4,1,8,0,10,2,0,6,32,2,32,5,15,0,6,9,0,1,1,9,24,20,4,12,3,21,9,5,0,0,0,0,2,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,15,21,10,19,0,0,6,0,0
Dacelo,1,0,0,1,0,905,436,12,1,14,2,0,10,8,4,0,0,16,0,0,0,0,0,0,0,15,114,31,52,8,9,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,28,1,1,26,20,24,20,153,11,14,17,8,24,5,17,30,7,1,6,307,6,21,3,20,44,13,25,41,21,5,103,2,0,0,1,7,0,8,0,3,20,3,7,19,47,91,14,11,6,15,32,116,347,63,23,81,96,1319,1183,77,0,9,18,2,56,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,3,13,0,0,13,0,0
Crocidura,3,3,0,6,0,1,8,7,2,4,1,2,3,3,9,4,4,41,7,0,0,0,0,4,0,88,42,2,8,3,24,0,0,0,0,0,0,0,0,0,0,0,9,23,8,5,0,1,0,1,1,0,1,1,2,1,0,0,68,4,0,10,150,55,14,21,50,4,11,24,15,0,29,5,0,3,2,5,0,5,3,3,4,1,13,2,1,0,6,419,0,22,5,8,2,13,4,35,0,55,0,1,10,6,29,19,0,3,52,0,4,1,15,3,23,1,13,3,11,10,18,4,9,2,2,39,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,28,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,28,24,13,8,0,0,2,0,0
